#       xJ     Jtp_tot
#
  0.999800  -0.000000
  1.000050  -0.000000
  1.000300  -0.000003
  1.000550  -0.000000
  1.000800  -0.000000
  1.001050  -0.000000
  1.001300  -0.000050
  1.001550  -0.000008
  1.001800  -0.000000
  1.002050  -0.000000
  1.002300  -0.000028
  1.002550  -0.000049
  1.002800  -0.000034
  1.003050  -0.000050
  1.003300  -0.000073
  1.003550  -0.000039
  1.003800  -0.000006
  1.004050  -0.000067
  1.004300  -0.000101
  1.004550  -0.000033
  1.004800  -0.000000
  1.005050  -0.000006
  1.005300  -0.000000
  1.005550  -0.000000
  1.005800  -0.000008
  1.006050  -0.000076
  1.006300  -0.000042
  1.006550  -0.000000
  1.006800  -0.000000
  1.007050  -0.000003
  1.007300  -0.000000
  1.007550  -0.000000
  1.007800  -0.000073
  1.008050  -0.000068
  1.008300  -0.000000
  1.008550  -0.000000
  1.008800  -0.000000
  1.009050  -0.000000
  1.009300  -0.000012
  1.009550  -0.000038
  1.009800  -0.000071
  1.010050  -0.000026
  1.010300  -0.000000
  1.010550  -0.000000
  1.010800  -0.000034
  1.011050  -0.000000
  1.011300  -0.000000
  1.011550  -0.000000
  1.011800  -0.000000
  1.012050  -0.000000
  1.012300  -0.000002
  1.012550  -0.000029
  1.012800  -0.000030
  1.013050  -0.000008
  1.013300  -0.000010
  1.013550  -0.000023
  1.013800  -0.000000
  1.014050  -0.000000
  1.014300  -0.000000
  1.014550  -0.000045
  1.014800  -0.000004
  1.015050  -0.000000
  1.015300  -0.000002
  1.015550  -0.000000
  1.015800  -0.000000
  1.016050  -0.000000
  1.016300  -0.000025
  1.016550  -0.000026
  1.016800  -0.000000
  1.017050  -0.000000
  1.017300  -0.000000
  1.017550  -0.000000
  1.017800  -0.000000
  1.018050  -0.000021
  1.018300  -0.000034
  1.018550  -0.000000
  1.018800  -0.000000
  1.019050  -0.000000
  1.019300  -0.000003
  1.019550  -0.000009
  1.019800  -0.000017
  1.020050  -0.000038
  1.020300  -0.000019
  1.020550  -0.000000
  1.020800  -0.000000
  1.021050  -0.000028
  1.021300  -0.000004
  1.021550  -0.000000
  1.021800  -0.000013
  1.022050  -0.000000
  1.022300  -0.000000
  1.022550  -0.000000
  1.022800  -0.000002
  1.023050  -0.000013
  1.023300  -0.000020
  1.023550  -0.000023
  1.023800  -0.000023
  1.024050  -0.000000
  1.024300  -0.000000
  1.024550  -0.000000
  1.024800  -0.000015
  1.025050  -0.000000
  1.025300  -0.000000
  1.025550  -0.000022
  1.025800  -0.000019
  1.026050  -0.000000
  1.026300  -0.000000
  1.026550  -0.000023
  1.026800  -0.000033
  1.027050  -0.000014
  1.027300  -0.000000
  1.027550  -0.000000
  1.027800  -0.000007
  1.028050  -0.000000
  1.028300  -0.000000
  1.028550  -0.000007
  1.028800  -0.000000
  1.029050  -0.000000
  1.029300  -0.000000
  1.029550  -0.000000
  1.029800  -0.000000
  1.030050  -0.000010
  1.030300  -0.000020
  1.030550  -0.000003
  1.030800  -0.000000
  1.031050  -0.000000
  1.031300  -0.000000
