#      xKs    Kstp_tot
#
  2.396000   0.000066
  2.395500   0.000074
  2.395000   0.000075
  2.394500   0.000077
  2.394000   0.000096
  2.393500   0.000082
  2.393000   0.000104
  2.392500   0.000068
  2.392000   0.000084
  2.391500   0.000104
  2.391000   0.000083
  2.390500   0.000081
  2.390000   0.000110
  2.389500   0.000100
  2.389000   0.000098
  2.388500   0.000132
  2.388000   0.000123
  2.387500   0.000120
  2.387000   0.000146
  2.386500   0.000148
  2.386000   0.000138
  2.385500   0.000169
  2.385000   0.000139
  2.384500   0.000142
  2.384000   0.000171
  2.383500   0.000158
  2.383000   0.000157
  2.382500   0.000172
  2.382000   0.000185
  2.381500   0.000175
  2.381000   0.000187
  2.380500   0.000200
  2.380000   0.000219
  2.379500   0.000210
  2.379000   0.000230
  2.378500   0.000218
  2.378000   0.000204
  2.377500   0.000260
  2.377000   0.000264
  2.376500   0.000264
  2.376000   0.000237
  2.375500   0.000290
  2.375000   0.000255
  2.374500   0.000289
  2.374000   0.000295
  2.373500   0.000313
  2.373000   0.000263
  2.372500   0.000300
  2.372000   0.000330
  2.371500   0.000381
  2.371000   0.000381
  2.370500   0.000402
  2.370000   0.000394
  2.369500   0.000410
  2.369000   0.000450
  2.368500   0.000456
  2.368000   0.000487
  2.367500   0.000492
  2.367000   0.000503
  2.366500   0.000544
  2.366000   0.000560
  2.365500   0.000596
  2.365000   0.000568
  2.364500   0.000584
  2.364000   0.000646
  2.363500   0.000698
  2.363000   0.000709
  2.362500   0.000726
  2.362000   0.000762
  2.361500   0.000812
  2.361000   0.000823
  2.360500   0.000870
  2.360000   0.000909
  2.359500   0.000955
  2.359000   0.000987
  2.358500   0.001037
  2.358000   0.001061
  2.357500   0.001118
  2.357000   0.001178
  2.356500   0.001225
  2.356000   0.001271
  2.355500   0.001336
  2.355000   0.001367
  2.354500   0.001420
  2.354000   0.001506
  2.353500   0.001580
  2.353000   0.001652
  2.352500   0.001718
  2.352000   0.001780
  2.351500   0.001859
  2.351000   0.001937
  2.350500   0.002068
  2.350000   0.002166
  2.349500   0.002236
  2.349000   0.002335
  2.348500   0.002487
  2.348000   0.002568
  2.347500   0.002673
  2.347000   0.002801
  2.346500   0.002951
  2.346000   0.003086
  2.345500   0.003216
  2.345000   0.003389
  2.344500   0.003497
  2.344000   0.003705
  2.343500   0.003868
  2.343000   0.004038
  2.342500   0.004199
  2.342000   0.004432
  2.341500   0.004624
  2.341000   0.004793
  2.340500   0.005079
  2.340000   0.005303
  2.339500   0.005523
  2.339000   0.005790
  2.338500   0.006096
  2.338000   0.006375
  2.337500   0.006670
  2.337000   0.006965
  2.336500   0.007271
  2.336000   0.007634
  2.335500   0.007928
  2.335000   0.008406
  2.334500   0.008760
  2.334000   0.009116
  2.333500   0.009566
  2.333000   0.009964
  2.332500   0.010513
  2.332000   0.010991
  2.331500   0.011470
  2.331000   0.011998
  2.330500   0.012557
  2.330000   0.013131
  2.329500   0.013793
  2.329000   0.014428
  2.328500   0.015104
  2.328000   0.015801
  2.327500   0.016528
  2.327000   0.017252
  2.326500   0.018103
  2.326000   0.018997
  2.325500   0.019920
  2.325000   0.020973
  2.324500   0.021903
  2.324000   0.022896
  2.323500   0.023959
  2.323000   0.025173
  2.322500   0.026467
  2.322000   0.027591
  2.321500   0.029075
  2.321000   0.030398
  2.320500   0.031878
  2.320000   0.033404
  2.319500   0.035214
  2.319000   0.037116
  2.318500   0.038858
  2.318000   0.040866
  2.317500   0.042796
  2.317000   0.044825
  2.316500   0.047393
  2.316000   0.049985
  2.315500   0.052453
  2.315000   0.054841
  2.314500   0.057494
  2.314000   0.060320
  2.313500   0.063544
  2.313000   0.067013
  2.312500   0.070535
