#       xH          yH
#
  1.907500   0.000044
  1.907000   0.000029
  1.906500   0.000037
  1.906000   0.000033
  1.905500   0.000065
  1.905000   0.000092
  1.904500   0.000108
  1.904000   0.000093
  1.903500   0.000078
  1.903000   0.000153
  1.902500   0.000099
  1.902000   0.000149
  1.901500   0.000109
  1.901000   0.000062
  1.900500   0.000128
  1.900000   0.000109
  1.899500   0.000123
  1.899000   0.000084
  1.898500   0.000121
  1.898000   0.000150
  1.897500   0.000114
  1.897000   0.000103
  1.896500   0.000167
  1.896000   0.000090
  1.895500   0.000207
  1.895000   0.000204
  1.894500   0.000159
  1.894000   0.000186
  1.893500   0.000236
  1.893000   0.000164
  1.892500   0.000203
  1.892000   0.000169
  1.891500   0.000225
  1.891000   0.000238
  1.890500   0.000184
  1.890000   0.000219
  1.889500   0.000337
  1.889000   0.000273
  1.888500   0.000227
  1.888000   0.000271
  1.887500   0.000288
  1.887000   0.000243
  1.886500   0.000216
  1.886000   0.000279
  1.885500   0.000330
  1.885000   0.000313
  1.884500   0.000306
  1.884000   0.000273
  1.883500   0.000321
  1.883000   0.000328
  1.882500   0.000349
  1.882000   0.000343
  1.881500   0.000343
  1.881000   0.000347
  1.880500   0.000454
  1.880000   0.000335
  1.879500   0.000458
  1.879000   0.000466
  1.878500   0.000465
  1.878000   0.000445
  1.877500   0.000403
  1.877000   0.000573
  1.876500   0.000451
  1.876000   0.000587
  1.875500   0.000502
  1.875000   0.000579
  1.874500   0.000608
  1.874000   0.000654
  1.873500   0.000664
  1.873000   0.000687
  1.872500   0.000671
  1.872000   0.000729
  1.871500   0.000698
  1.871000   0.000775
  1.870500   0.000851
  1.870000   0.000882
  1.869500   0.000856
  1.869000   0.000842
  1.868500   0.000863
  1.868000   0.000956
  1.867500   0.001056
  1.867000   0.001077
  1.866500   0.001097
  1.866000   0.001213
  1.865500   0.001169
  1.865000   0.001150
  1.864500   0.001221
  1.864000   0.001298
  1.863500   0.001349
  1.863000   0.001390
  1.862500   0.001460
  1.862000   0.001499
  1.861500   0.001587
  1.861000   0.001632
  1.860500   0.001637
  1.860000   0.001770
  1.859500   0.001807
  1.859000   0.001945
  1.858500   0.002004
  1.858000   0.002048
  1.857500   0.002086
  1.857000   0.002220
  1.856500   0.002368
  1.856000   0.002469
  1.855500   0.002517
  1.855000   0.002568
  1.854500   0.002709
  1.854000   0.002834
  1.853500   0.002854
  1.853000   0.003061
  1.852500   0.003239
  1.852000   0.003380
  1.851500   0.003581
  1.851000   0.003744
  1.850500   0.003867
  1.850000   0.004023
  1.849500   0.004254
  1.849000   0.004394
  1.848500   0.004614
  1.848000   0.004864
  1.847500   0.005060
  1.847000   0.005216
  1.846500   0.005493
  1.846000   0.005795
  1.845500   0.006124
  1.845000   0.006466
  1.844500   0.006770
  1.844000   0.007099
  1.843500   0.007555
  1.843000   0.007931
  1.842500   0.008262
  1.842000   0.008563
  1.841500   0.008993
  1.841000   0.009378
  1.840500   0.009889
  1.840000   0.010417
  1.839500   0.011031
  1.839000   0.011596
  1.838500   0.012265
  1.838000   0.012974
  1.837500   0.013645
  1.837000   0.014396
  1.836500   0.015123
  1.836000   0.015922
  1.835500   0.016722
  1.835000   0.017613
  1.834500   0.018682
  1.834000   0.019876
  1.833500   0.021081
  1.833000   0.022504
  1.832500   0.023759
  1.832000   0.025169
  1.831500   0.026706
  1.831000   0.028234
  1.830500   0.029769
