#       xJ          yJ
#  
  0.899800   0.000037
  0.900050   0.000000
  0.900300   0.000000
  0.900550   0.000850
  0.900800   0.001318
  0.901050   0.002072
  0.901300   0.001534
  0.901550   0.000114
  0.901800   0.000578
  0.902050   0.001693
  0.902300   0.001120
  0.902550   0.000213
  0.902800   0.000067
  0.903050   0.000000
  0.903300   0.000000
  0.903550   0.000000
  0.903800   0.000366
  0.904050   0.000977
  0.904300   0.000552
  0.904550   0.000860
  0.904800   0.001107
  0.905050   0.000529
  0.905300   0.000624
  0.905550   0.000446
  0.905800   0.000000
  0.906050   0.000501
  0.906300   0.001366
  0.906550   0.000810
  0.906800   0.000000
  0.907050   0.000758
  0.907300   0.000894
  0.907550   0.000042
  0.907800   0.000228
  0.908050   0.000386
  0.908300   0.000000
  0.908550   0.000442
  0.908800   0.001735
  0.909050   0.001192
  0.909300   0.000000
  0.909550   0.000000
  0.909800   0.000000
  0.910050   0.000000
  0.910300   0.000000
  0.910550   0.000117
  0.910800   0.000000
  0.911050   0.000000
  0.911300   0.000000
  0.911550   0.000000
  0.911800   0.000000
  0.912050   0.000691
  0.912300   0.000818
  0.912550   0.000002
  0.912800   0.000000
  0.913050   0.000382
  0.913300   0.000205
  0.913550   0.000000
  0.913800   0.000035
  0.914050   0.000153
  0.914300   0.000000
  0.914550   0.000013
  0.914800   0.001262
  0.915050   0.000705
  0.915300   0.000000
  0.915550   0.000208
  0.915800   0.000000
  0.916050   0.000000
  0.916300   0.000155
  0.916550   0.000457
  0.916800   0.000000
  0.917050   0.000000
  0.917300   0.000743
  0.917550   0.000637
  0.917800   0.000407
  0.918050   0.000558
  0.918300   0.000000
  0.918550   0.000000
  0.918800   0.000000
  0.919050   0.000000
  0.919300   0.000000
  0.919550   0.000094
  0.919800   0.000633
  0.920050   0.000000
  0.920300   0.000000
  0.920550   0.000000
  0.920800   0.000000
  0.921050   0.000000
  0.921300   0.000191
  0.921550   0.000000
  0.921800   0.000000
  0.922050   0.000295
  0.922300   0.000497
  0.922550   0.000223
  0.922800   0.000404
  0.923050   0.000606
  0.923300   0.000157
  0.923550   0.000000
  0.923800   0.000000
  0.924050   0.000000
  0.924300   0.000000
  0.924550   0.000000
  0.924800   0.000140
  0.925050   0.000000
  0.925300   0.000000
  0.925550   0.000020
  0.925800   0.000112
  0.926050   0.000000
  0.926300   0.000177
  0.926550   0.000165
  0.926800   0.000000
  0.927050   0.000536
  0.927300   0.000704
  0.927550   0.000113
  0.927800   0.000130
  0.928050   0.000203
  0.928300   0.000000
  0.928550   0.000000
  0.928800   0.000000
  0.929050   0.000051
  0.929300   0.000000
